name,url,filepath,depth
AnthonyWTonyGoodwin,https://www.agoodwinforportsmouth.com,html/Senate/AnthonyWTonyGoodwin/www.agoodwinforportsmouth.com16993048309954686,0
EricFDitri,https://ericditri.com,html/Senate/EricFDitri/ericditri.comEric Ditri for Senate1699304831012626,0
EstherMNizer,https://www.nizer4va.org,html/House/EstherMNizer/www.nizer4va.orgHome | Esther Nizer16993048317976482,0
MarkDObenshain,https://www.markobenshain.com,html/Senate/MarkDObenshain/www.markobenshain.comMark Obenshain – Virginia Senate16993048333853385,0
KarenSGreenhalgh,https://karengreenhalgh.com,"html/House/KarenSGreenhalgh/karengreenhalgh.comDelegate Karen Greenhalgh, representing Virginia Beach | Home16993048384004512",0
KarrieKDelaney,https://www.karriedelaney.com,html/House/KarrieKDelaney/www.karriedelaney.comKarrie Delaney for Delegate - Home169930484116015,0
AngeliaWilliamsGraves,https://angeliawilliamsgraves.com,html/Senate/AngeliaWilliamsGraves/angeliawilliamsgraves.comObject moved16993048429949186,0
JohnQSmith,https://www.johnqforva.org,html/House/JohnQSmith/www.johnqforva.orgJOHNQ FOR VA - Home16993048430631077,0
TravisSNembhard,https://nembhardforvirginia.com,html/House/TravisSNembhard/nembhardforvirginia.comHome – Travis Nembhard for Delegate - VA 2216993048833192692,0
AmyJLaufer,https://lauferfordelegate.com,html/House/AmyJLaufer/lauferfordelegate.comAmy Laufer - Democrat for Delegate16993048860708485,0
JohnTStirrup,https://stirrupfordelegate.com,html/House/JohnTStirrup/stirrupfordelegate.comJohn Stirrup for Delegate16993048871451821,0
JamesAJayLeftwichJr,https://www.jayleftwich.com,html/House/JamesAJayLeftwichJr/www.jayleftwich.com16993048927745874,0
JasonAFord,https://fordforva.com,html/Senate/JasonAFord/fordforva.comHome - Jason Ford for VA Senate1699304892778678,0
EricFDitri,https://ericditri.com/about-eric,html/Senate/EricFDitri/ericditri.com|about-eric16993048985845942,1
MadelynMadyRodriguez,https://www.madyforvirginia.com,html/House/MadelynMadyRodriguez/www.madyforvirginia.com16993048993963735,0
RichardHStuart,https://www.stuartforsenate.com,html/Senate/RichardHStuart/www.stuartforsenate.comRichard H. Stuart | Virginia Senate | United States16993048994039001,0
EstherMNizer,https://www.nizer4va.org/donate,html/House/EstherMNizer/www.nizer4va.org|donate1699304899811714,1
MarkDObenshain,https://www.markobenshain.com/about/,html/Senate/MarkDObenshain/www.markobenshain.com|about|16993048998437371,1
EstherMNizer,https://www.nizer4va.org/about-9,html/House/EstherMNizer/www.nizer4va.org|about-916993048999465964,1
MarkDObenshain,https://www.markobenshain.com/redistricting/,html/Senate/MarkDObenshain/www.markobenshain.com|redistricting|16993048999810772,1
EricFDitri,https://ericditri.com/contact-us,html/Senate/EricFDitri/ericditri.com|contact-us1699304900079838,1
MarkDObenshain,https://www.markobenshain.com/issues/,html/Senate/MarkDObenshain/www.markobenshain.com|issues|16993049005198598,1
EstherMNizer,https://www.nizer4va.org/volunteer-form,html/House/EstherMNizer/www.nizer4va.org|volunteer-form16993049005372562,1
EstherMNizer,https://www.nizer4va.org/general-8,html/House/EstherMNizer/www.nizer4va.org|general-816993049007359617,1
MarkDObenshain,https://www.markobenshain.com/news/,html/Senate/MarkDObenshain/www.markobenshain.com|news|16993049007923594,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/home,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|home16993049010504804,1
KarenSGreenhalgh,https://karengreenhalgh.com/about.html,html/House/KarenSGreenhalgh/karengreenhalgh.com|about.html1699304952013964,1
MarkDObenshain,https://www.markobenshain.com/press/,html/Senate/MarkDObenshain/www.markobenshain.com|press|16993049523201075,1
KarrieKDelaney,https://www.karriedelaney.com/meet-karrie.html,html/House/KarrieKDelaney/www.karriedelaney.com|meet-karrie.html169930495234539,1
EstherMNizer,https://www.nizer4va.org/team-3,html/House/EstherMNizer/www.nizer4va.org|team-31699304952370604,1
JohnQSmith,https://www.johnqforva.org/news-and-updates.html,html/House/JohnQSmith/www.johnqforva.org|news-and-updates.html16993049524877996,1
KarenSGreenhalgh,https://karengreenhalgh.com/platform.html,html/House/KarenSGreenhalgh/karengreenhalgh.com|platform.html169930495258055,1
KarrieKDelaney,https://www.karriedelaney.com/issues.html,html/House/KarrieKDelaney/www.karriedelaney.com|issues.html16993049526823905,1
KarenSGreenhalgh,https://karengreenhalgh.com/resources.html,html/House/KarenSGreenhalgh/karengreenhalgh.com|resources.html16993049527764697,1
MarkDObenshain,https://www.markobenshain.com/volunteer/,html/Senate/MarkDObenshain/www.markobenshain.com|volunteer|1699304952831855,1
EstherMNizer,https://www.nizer4va.org/blank-3,html/House/EstherMNizer/www.nizer4va.org|blank-316993049529189258,1
JoshuaGCole,https://www.jgcole.org,html/House/JoshuaGCole/www.jgcole.orgJoshua Cole for Delegate16993049529474707,0
JohnQSmith,https://www.johnqforva.org/positions.html,html/House/JohnQSmith/www.johnqforva.org|positions.html16993049536498928,1
TravisSNembhard,https://nembhardforvirginia.com/meet-travis/,html/House/TravisSNembhard/nembhardforvirginia.com|meet-travis|1699304953678393,1
MarkDObenshain,https://www.markobenshain.com/endorsements/,html/Senate/MarkDObenshain/www.markobenshain.com|endorsements|16993049537412317,1
JohnQSmith,https://www.johnqforva.org/links.html,html/House/JohnQSmith/www.johnqforva.org|links.html16993049537944486,1
KarrieKDelaney,https://www.karriedelaney.com/contact.html,html/House/KarrieKDelaney/www.karriedelaney.com|contact.html16993049538169448,1
KarenSGreenhalgh,https://karengreenhalgh.com/volunteer.html,html/House/KarenSGreenhalgh/karengreenhalgh.com|volunteer.html169930495452526,1
TravisSNembhard,https://nembhardforvirginia.com/our-priorities/,html/House/TravisSNembhard/nembhardforvirginia.com|our-priorities|169930495473588,1
AmyJLaufer,https://lauferfordelegate.com/meet-amy/,html/House/AmyJLaufer/lauferfordelegate.com|meet-amy|1699304954750514,1
KarenSGreenhalgh,https://karengreenhalgh.com/contact.html,html/House/KarenSGreenhalgh/karengreenhalgh.com|contact.html1699304955206992,1
