name,url,filepath,depth
DucMTruong,https://www.ducforvirginia.com,html/House/DucMTruong/www.ducforvirginia.comDuc Truong for Virginia16991450698133464,0
DonLScottJr,https://leaderdonscott.com,html/House/DonLScottJr/leaderdonscott.comHome - Don Scott for Virginia16991450717315404,0
LLouiseLucas,https://www.senatorlouiselucas.com,html/Senate/LLouiseLucas/www.senatorlouiselucas.comSenator Lucas16991450769883106,0
JohnQSmith,https://www.johnqforva.org,html/House/JohnQSmith/www.johnqforva.orgJOHNQ FOR VA - Home16991450770743206,0
MarkJLux,https://www.luxforvirginia.com,html/House/MarkJLux/www.luxforvirginia.comLux for Virginia | Virginia 66th District1699145079776795,0
PhilipAHamilton,https://www.hamiltonforvasenate.com,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.comPhilip Hamilton for Virginia Senate1699145079856323,0
ChristieNewCraig,https://christienewcraig.com,html/Senate/ChristieNewCraig/christienewcraig.comChristie New Craig for Senate 16991450869060872,0
DebraDGardner,https://debragardnerfordelegate.com,html/House/DebraDGardner/debragardnerfordelegate.comHome | Debra Gardner for Delegate1699145087720694,0
StellaGPekarsky,https://stellapekarsky.com,html/Senate/StellaGPekarsky/stellapekarsky.comStella Pekarsky for Virginia Senate | Virginia Senate Candidate1699145091995906,0
DucMTruong,https://www.ducforvirginia.com/privacy-policy,html/House/DucMTruong/www.ducforvirginia.com|privacy-policy16991450948885834,1
WChadGreen,https://greenfordelegate.com,html/House/WChadGreen/greenfordelegate.comGreen for Delegate16991450949797494,0
DonLScottJr,https://leaderdonscott.com/about,html/House/DonLScottJr/leaderdonscott.com|about1699145096782793,1
HollyMSeibold,https://www.hollyseibold.com,html/House/HollyMSeibold/www.hollyseibold.comHome16991450968022838,0
LLouiseLucas,https://www.senatorlouiselucas.com/donate,html/Senate/LLouiseLucas/www.senatorlouiselucas.com|donate16991450968235328,1
JeremyDRodden,https://www.jeremyrodden.com,html/House/JeremyDRodden/www.jeremyrodden.com16991450968882523,0
JamesAJayLeftwichJr,https://www.jayleftwich.com,html/House/JamesAJayLeftwichJr/www.jayleftwich.com16991450968905418,0
DonLScottJr,https://leaderdonscott.com/priorities,html/House/DonLScottJr/leaderdonscott.com|priorities16991450968924332,1
DavidLBulova,https://www.davidbulova.com,html/House/DavidLBulova/www.davidbulova.comDELEGATE DAVID BULOVA - Home16991450968973594,0
DonLScottJr,https://leaderdonscott.com/endorsements,html/House/DonLScottJr/leaderdonscott.com|endorsements1699145097216943,1
JohnQSmith,https://www.johnqforva.org/news-and-updates.html,html/House/JohnQSmith/www.johnqforva.org|news-and-updates.html16991450972195573,1
LLouiseLucas,https://www.senatorlouiselucas.com/about-louise,html/Senate/LLouiseLucas/www.senatorlouiselucas.com|about-louise16991450972378504,1
DonLScottJr,https://leaderdonscott.com/district-88,html/House/DonLScottJr/leaderdonscott.com|district-881699145097305731,1
JohnQSmith,https://www.johnqforva.org/positions.html,html/House/JohnQSmith/www.johnqforva.org|positions.html16991450973095157,1
LLouiseLucas,https://www.senatorlouiselucas.com/district,html/Senate/LLouiseLucas/www.senatorlouiselucas.com|district16991450973475077,1
JohnQSmith,https://www.johnqforva.org/links.html,html/House/JohnQSmith/www.johnqforva.org|links.html16991450975662448,1
MarkJLux,https://www.luxforvirginia.com/about,html/House/MarkJLux/www.luxforvirginia.com|about16991450976706996,1
LLouiseLucas,https://www.senatorlouiselucas.com/volunteer-for-louise-lucas,html/Senate/LLouiseLucas/www.senatorlouiselucas.com|volunteer-for-louise-lucas16991450977108808,1
DonLScottJr,https://leaderdonscott.com/resources,html/House/DonLScottJr/leaderdonscott.com|resources1699145097844194,1
MarkJLux,https://www.luxforvirginia.com/issues,html/House/MarkJLux/www.luxforvirginia.com|issues1699145098089402,1
JohnQSmith,https://www.johnqforva.org/contact.html,html/House/JohnQSmith/www.johnqforva.org|contact.html16991450982540612,1
MarkJLux,https://www.luxforvirginia.com/get-involved,html/House/MarkJLux/www.luxforvirginia.com|get-involved16991450984448912,1
DonLScottJr,https://leaderdonscott.com/vote-absentee/,html/House/DonLScottJr/leaderdonscott.com|vote-absentee|16991450990476754,1
MarkJLux,https://www.luxforvirginia.com/endorsements,html/House/MarkJLux/www.luxforvirginia.com|endorsements16991450991304517,1
DonLScottJr,https://leaderdonscott.com/news,html/House/DonLScottJr/leaderdonscott.com|news1699145099331289,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/issues/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|issues|16991450994603612,1
MarkJLux,https://www.luxforvirginia.com/blog,html/House/MarkJLux/www.luxforvirginia.com|blog16991450998614867,1
DonLScottJr,https://leaderdonscott.com/contact,html/House/DonLScottJr/leaderdonscott.com|contact16991450999094021,1
ChristieNewCraig,https://christienewcraig.com/about-christie,html/Senate/ChristieNewCraig/christienewcraig.com|about-christie16991450999259489,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/endorsements/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|endorsements|1699145100439709,1
ChristieNewCraig,https://christienewcraig.com/issues,html/Senate/ChristieNewCraig/christienewcraig.com|issues16991451004900925,1
MarkJLux,https://www.luxforvirginia.com/events,html/House/MarkJLux/www.luxforvirginia.com|events16991451007992032,1
DonLScottJr,https://leaderdonscott.com/get-involved,html/House/DonLScottJr/leaderdonscott.com|get-involved1699145100882994,1
ChristieNewCraig,https://christienewcraig.com/endorsements,html/Senate/ChristieNewCraig/christienewcraig.com|endorsements16991451012021875,1
DebraDGardner,https://debragardnerfordelegate.com/meet-debra/,html/House/DebraDGardner/debragardnerfordelegate.com|meet-debra|1699145101521825,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/news/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|news|1699145101612921,1
ChristieNewCraig,https://christienewcraig.com/events,html/Senate/ChristieNewCraig/christienewcraig.com|events16991451019010649,1
DonLScottJr,https://leaderdonscott.com/2023/02/25/scotts-e-dition-session-closeout/,html/House/DonLScottJr/leaderdonscott.com|2023|02|25|scotts-e-dition-session-closeout|1699145102352029,1
DebraDGardner,https://debragardnerfordelegate.com/priorities-2/,html/House/DebraDGardner/debragardnerfordelegate.com|priorities-2|16991451024048426,1
ChristieNewCraig,https://christienewcraig.com/contact-us,html/Senate/ChristieNewCraig/christienewcraig.com|contact-us16991451025783622,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/events/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|events|1699145102907349,1
DebraDGardner,https://debragardnerfordelegate.com/vote/,html/House/DebraDGardner/debragardnerfordelegate.com|vote|16991451030094945,1
ChristieNewCraig,https://christienewcraig.com/celebrate-women,html/Senate/ChristieNewCraig/christienewcraig.com|celebrate-women16991451030576217,1
DebraDGardner,https://debragardnerfordelegate.com/priorities,html/House/DebraDGardner/debragardnerfordelegate.com|priorities16991451035341072,1
DonLScottJr,https://leaderdonscott.com/2023/02/18/scotts-e-dition-week-six-roundup/,html/House/DonLScottJr/leaderdonscott.com|2023|02|18|scotts-e-dition-week-six-roundup|16991451035400333,1
