name,url,depth,error_msg
KarenSGreenhalgh,https://karengreenhalgh.com/cgi-bin/privacy.cgi,1,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
KarenSGreenhalgh,https://karengreenhalgh.com/cgi-bin/terms.cgi,1,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
AngeliaWilliamsGraves,http://,3,<twisted.python.failure.Failure builtins.ValueError: invalid hostname: >
MarkDObenshain,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-72-FOURTH-AMENDED-and-Order-of-Public-Health-Emergency-Nine-Easing-of-Commonsense-Surge-Restrictions-Due-to-Novel-Coronavirus-(COVID-19).pdf,3,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
MKeithHodges,https://keithhodges98.com,0,Connection was refused by other side: ConnectionRefusedError
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/content/fineprint,3,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
JamesWWillMorefield,https://http:,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: http.>
RodneyTWillett,https://www.rodwillett.com/newsletters?author=5c9980a25e0ed87243fb10cb,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
RodneyTWillett,https://www.doe.virginia.gov/statistics_reports/our-commitment-to-virginians.pdf,3,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
RodneyTWillett,https://www.rodwillett.com/in-the-media?author=5c9980a25e0ed87243fb10cb,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
GregoryJMoulthrop,https://gregmoulthrop.com/media?author=6203f13556c12025d2cb7e51,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
GregoryJMoulthrop,https://gregmoulthrop.com/media?author=63347e9797dc08207f0e0de4,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
IreneShin,https://www.ireneforva.com/news?author=649ef452ead58537c08c8f9f,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
IreneShin,https://www.ireneforva.com/news?author=649ef42ad6d557068b4dbf15,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
IreneShin,https://www.ireneforva.com/news?author=61d5f0273969ef3cb05c8394,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
IreneShin,https://www.ireneforva.com/news?author=61d4b10af104d13770295628,3,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
LauraJaneHCohen,https://laurajanecohen.com,0,Connection was refused by other side: ConnectionRefusedError
DavidWMarsden,https://marsdenforsenate.nationbuilder.com/users/facebook/connect?page_id=55&scope=public_profile%2Cemail,1,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
DavidWMarsden,https://marsdenforsenate.nationbuilder.com/users/twitter/connect?page_id=55,1,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
DavidWMarsden,https://marsdenforsenate.nationbuilder.com/forms/shares/new?page_id=88,1,<twisted.python.failure.Failure scrapy.exceptions.IgnoreRequest: Forbidden by robots.txt>
