candidate|data types
RobertLRobBanseJr.txt|cookie, email, comment, name, data, browser user agent, tracking, form, ip, website
LRileyShaia.txt|phone number, gender, referring page, usage, broswer type, cookies, traffic data, connection, data, ssn, tin, referring or exit pages, log, preferences, web beacons, financial, email, browsing actions, name, browser type, equipment, interactions, web surfing, time spent, address, isp, pages visited, logs, datetime, forms, patterns, click stream data, age, browsing, location, password, ip, operating system, zip code, trackers, search queries
KarenSGreenhalgh.txt|
AlexQAskew.txt|phone number, mobile network, device id, payment information, usage, broswer type, browser, cookies, times, pages viewed, contacts, contact information, purchase price, data, web beacons, email, name, hardware model, time spent, address, device information, links clicked, occupation, device, datetime, product details, access, operating system, ip, donation amount, employer
KimATaylor.txt|cookie, email, forms, comment, name, broswer user agent, data, tracking, ip, website
BonitaGraceAnthony.txt|phone number, device id, payment information, usage, cookies, pages viewed, contacts, contact information, purchase price, data, broswer, web beacons, email, name, hardware model, address, device information, links clicked, mobile network information, conversion information, datetime, product details, ip address, location, operating system, ip, donation amount, access time, time spent on pages, transaction information
KathyKLTran.txt|phone number, zip code, payment information, email, name, credit card, data, address
DucMTruong.txt|
TravisSNembhard.txt|cookie, email, forms, comment, name, broswer user agent, data, tracking, ip, website
JamesAJayLeftwichJr.txt|cookie, email, forms, comment, name, broswer user agent, data, tracking, ip, website
EllenHCampbell.txt|
JChristianChrisObenshain.txt|browser, name, contact information, data, ip
DavidLOwen.txt|phone number, cookie, email, trackers, browser, name, operating system, ip
JasonSBallard.txt|cookie, email, forms, comment, name, broswer user agent, contact information, data, tracking, ip, website
VivianEWatts.txt|email, name, demographic, contact information, form, ip
PhillipAPhilScott.txt|phone number, datetime, email, comment, name, browser user agent, address, ip
PhilMHernandez.txt|phone number, mobile network, device id, payment information, usage, broswer type, browser, cookies, times, pages viewed, contact information, purchase price, data, web beacons, email, name, hardware model, time spent, address, device information, links clicked, occupation, device, datetime, product details, access, operating system, ip, donation amount, employer
MichaelJDillender.txt|cookie, email, forms, comment, name, broswer user agent, data, tracking, ip, website
LeePetersIII.txt|phone number, gender, referring page, usage, broswer type, cookies, traffic data, connection, data, ssn, tin, referring or exit pages, log, preferences, web beacons, financial, email, browsing actions, name, browser type, equipment, interactions, web surfing, time spent, address, isp, pages visited, logs, datetime, forms, patterns, click stream data, age, browsing, location, password, ip, operating system, zip code, trackers, search queries
MaxBFisher.txt|phone number, financial information, email, name, credit card, contact information, address
AmandaEBatten.txt|
DestinyLLevereBolling.txt|phone number, mobile network, device id, payment information, usage, broswer type, browser, cookies, times, pages viewed, contact information, purchase price, data, web beacons, email, name, hardware model, time spent, address, device information, links clicked, device, datetime, product details, access, operating system, ip, donation amount
TerryGKilgore.txt|
DonLScottJr.txt|name, phone number, email
CECliffHayesJr.txt|phone number, email, name, location, ip
MattJWaters.txt|phone number, zip code, mobile device, usage, browser version, datetime, email, browser type, address, location, mobile internet, operating system, ip, pages visited
ScottAWyatt.txt|
WendellSWalker.txt|device, phone number, cookie, usage, email, browsing data, name, address, ip
TMontyMason.txt|number of clicks, phone number, referring page, datetime, email, name, message, browser type, isp, ip
BryceEReeves.txt|
MarkDObenshain.txt|
JoelLGriffin.txt|phone number, referring website, cookie, financial information, shipping, domain naimes, email, name, browser type, device information, address, billing, access times, ip
MarkBVafiades.txt|
MamieELocke.txt|phone number, usage, fax number, email, browser, name, display type, address, ip
ChristopherTHead.txt|cookie, email, forms, comment, name, broswer user agent, contact information, data, tracking, ip, website
DavidAHenshaw.txt|
JulieAnnaPerry.txt|
JenniferDCarrollFoy.txt|time zone, phone number, logs, referring page, datetime, email, cookies, web browser, browser type, name, billing, isp, ip
ElizabethGMelson.txt|phone number, internet domain, datetime, email, browser, name, address, operating system, ip
PhilipAHamilton.txt|
SaddamAzlanSalim.txt|household income, gender, email, race, religion, browser, forms, name, age, credit card, demographic, political affiliation, address, billing, operating system, ip
GlenHSturtevantJr.txt|phone number, gender, referring page, usage, broswer type, cookies, traffic data, connection, data, ssn, tin, referring or exit pages, log, preferences, web beacons, financial, email, browsing actions, name, browser type, equipment, interactions, web surfing, time spent, address, isp, pages visited, logs, datetime, forms, patterns, click stream data, age, browsing, location, password, ip, operating system, zip code, trackers, search queries
AaronRRouse.txt|phone number, mobile network, device id, payment information, usage, broswer type, browser, cookies, times, pages viewed, contact information, purchase price, data, web beacons, email, name, hardware model, time spent, address, device information, links clicked, device, datetime, product details, access, operating system, ip, donation amount
JoliciaAWard.txt|phone number, referring site, email, browser, name, address, operating system, ip
StellaGPekarsky.txt|household income, gender, email, race, religion, browser, forms, name, age, credit card, demographic, political affiliation, address, billing, operating system, ip
JenniferBBoysko.txt|cookie, email, comment, name, data, browser user agent, tracking, form, ip, website
PATrishWhite-Boyd.txt|name, phone number, email
TaraADurant.txt|
