sentence|keep
who we are|False
suggested text: say who the candidate is and what position they are running for|False
comments|False
suggested text: when visitors leave comments on the site we collect the data shown in the comments form, and also the visitors ip address and browser user agent string to help spam detection|True
an anonymized string created from your email address (also called a hash) may be provided to the gravatar service to see if you are using it|True
the gravatar service privacy policy is available here: https://automattic|False
com/privacy/|False
after approval of your comment, your profile picture is visible to the public in the context of your comment|True
media|False
suggested text: if you upload images to the website, you should avoid uploading images with embedded location data (exif gps) included|False
visitors to the website can download and extract any location data from images on the website|True
cookies|False
suggested text: if you leave a comment on our site you may opt-in to saving your name, email address and website in cookies|True
these are for your convenience so that you do not have to fill in your details again when you leave another comment|False
these cookies will last for one year|False
if you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies|True
this cookie contains no personal data and is discarded when you close your browser|False
when you log in, we will also set up several cookies to save your login information and your screen display choices|True
login cookies last for two days, and screen options cookies last for a year|False
if you select remember me, your login will persist for two weeks|True
if you log out of your account, the login cookies will be removed|False
if you edit or publish an article, an additional cookie will be saved in your browser|True
this cookie includes no personal data and simply indicates the post id of the article you just edited|True
it expires after 1 day|False
embedded content from other websites|False
suggested text: articles on this site may include embedded content (e|False
g|False
videos, images, articles, etc|False
)|False
embedded content from other websites behaves in the exact same way as if the visitor has visited the other website|False
these websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website|True
who we share your data with|False
suggested text: if you request a password reset, your ip address will be included in the reset email|True
how long we retain your data|False
suggested text: if you leave a comment, the comment and its metadata are retained indefinitely|True
this is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue|False
for users that register on our website (if any), we also store the personal information they provide in their user profile|True
all users can see, edit, or delete their personal information at any time (except they cannot change their username)|False
website administrators can also see and edit that information|True
what rights you have over your data|False
suggested text: if you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us|False
you can also request that we erase any personal data we hold about you|False
this does not include any data we are obliged to keep for administrative, legal, or security purposes|False
where your data is sent|False
suggested text: visitor comments may be checked through an automated spam detection service|True
privacy policy|False
website privacy policy|False
at riley for delegate [organization or we], we are committed to protecting the privacy of our online guests, customers, members, and friends (collectively, our users or, as applicable to yourself, you)|False
we believe that maintaining privacy on the internet is very important and hope you will read this privacy policy carefully so that you will clearly understand both our commitment to you and your privacy and our method of collecting and using information|False
this privacy policy describes the types of information we may collect from you or that you may provide when you visit the website rileyfordelegate|False
com (our website) and our practices for collecting, using, maintaining, protecting, and disclosing that information|False
this privacy policy only applies to data gathered on this website, associated email, and text messaging services, and does not apply to any other website|False
by using the website, communicating with us by email, or by otherwise submitting personal information to us, you agree to the terms of this privacy policy; you give your consent to the collection, storage and use of personal information as explained in this privacy policy|True
the term personal information refers to non-public information that personally relates to or identifies you, such as your name, password, age, gender, email address, postal mailing address, zip code, home/mobile telephone number, social security number and/or taxpayer identification number, and other similar information)|True
if we combine or associate information from other sources with personal information that you provide directly to us through or in connection with our services, we will treat the combined information as personal information in accordance with this privacy policy|False
this privacy policy applies to information we collect:|False
on this website|True
in email, text, and other electronic messages between you and this website|True
when you interact with our advertising and applications on third-party websites and services, if those applications or advertising include links to this policy|True
it does not apply to information collected by:|False
us offline or through any other means, including on any other website operated by us or any third party (including our affiliates and subsidiaries); or|False
any third party (including our affiliates and subsidiaries), including through any application or content (including advertising) that may link to or be accessible from or on the website|False
our pledge to you|False
we use reasonable best efforts to maintain the confidentiality, integrity, and security of our users personal information|False
keeping user information secure, and using it only as our users agree, are matters of principle for all us|False
with this in mind, here is our commitment to each user:|False
we will restrict access to user information to those who need to know in order to provide services to you, and will educate them according to our internal policies to reinforce the importance of confidentiality and client and user privacy;|True
we will maintain reasonable and customary security standards and procedures to protect information about you; and|True
we will respond quickly to your request to correct inaccurate information|False
updates and changes to privacy policy|False
we may revise our privacy policy at any time|False
in the event of a change in this privacy policy, a revised privacy policy will promptly be posted to our website, and the updated date will be changed|False
please revisit this page to familiarize yourself with changes to the privacy policy|False
you agree to accept posting of a revised privacy policy as described herein as actual notice to you of such revised privacy policy|False
your continued use of our website after such posting constitutes consent to the collection and use of your information as described in the then-current privacy policy|False
how and why we gather information|False
when you use this website or at any later time, we collect certain personal information from you|False
we call this your profile|False
 from time to time, we may request additional information (e|False
, through surveys) to help us further assess your needs and preferences|False
if you choose to provide such information, during registration or otherwise, you are giving us permission to collect, store and use it consistent with this privacy policy|True
we may also obtain your personal information from your transactions with us or other users through the services provided through this website, or from third parties such as credit reporting agencies|True
information about you we collect and why we gather such information|False
we collect several types of information from and about users of our website, including information:|False
that personally relates to or identifies you, such as your name, password, postal address, e-mail address, home/mobile telephone number, or any other identifier by which you may be contacted online or offline (personal information);|True
that is about you but individually does not identify you, such as political and religious affiliation and leaning, age, or gender; and/or|False
about your internet connection, the equipment you use to access our website, including but not limited to, website pages viewed, sites visited before visiting this website, frequency of visits, clickstream data, browser type, operating system, organization name, articles, internet connection speed, presentations viewed, time spent viewing pages of our website or using certain features of our website, demographic data such as server locations, clickstream data, location services, server location, cookies existing on your computer, search criteria used and results, date and time of access or visits to our website, frequency of visits to our website, connection speed, and other information which does not specifically identify you|False
we collect this information:|False
directly from you when you provide it to us|False
automatically as you navigate through the site|True
information collected automatically may include usage details, ip addresses, and information collected through cookies, web beacons, and other tracking technologies|True
from third-parties|False
information you provide to us|False
the information we collect on or through our website may include:|False
information you provide by filling in forms on our website|True
this includes information provided at the time of registering to use our website, signing up for newsletters or email notifications, making a contribution, or requesting further information|True
we may also ask you for information when you report a problem with our website|False
records and copies of your correspondence (including email addresses), if you contact us|True
your responses to surveys that we might ask you to complete for research purposes|False
information you provide when you participate in surveys or promotions|True
details of any transactions with the organization that you carry out through our website|True
you may be required to provide financial information before completing any transaction through our website|True
your search queries on the website|True
information we collect through automatic data collection technologies|False
as you navigate through and interact with our website, we may use automatic data collection technologies to collect certain information about your equipment, browsing actions, and patterns, including:|True
details of your visits to our website, including traffic data, location data, logs, and other communication data and the resources that you access and use on the website|True
information about your computer and internet connection, including your ip address, operating system, and browser type|True
the information we collect automatically may include personal information, or we may maintain it or associate it with personal information we collect in other ways or receive from third parties|True
it helps us to improve our website and to deliver a better and more personalized service, including by enabling us to:|False
suggested text: when visitors leave comments on the site we collect the data shown in the comments form, and also the visitors ip address and browser user agent string to help spam detection|True
if you select remember me, your login will persist for two weeks|True
at riley for delegate [organization or we], we are committed to protecting the privacy of our online guests, customers, members, and friends (collectively, our users or, as applicable to yourself, you)|False
com (our website) and our practices for collecting, using, maintaining, protecting, and disclosing that information|False
the term personal information refers to non-public information that personally relates to or identifies you, such as your name, password, age, gender, email address, postal mailing address, zip code, home/mobile telephone number, social security number and/or taxpayer identification number, and other similar information)|True
we use reasonable best efforts to maintain the confidentiality, integrity, and security of our users personal information|False
in the event of a change in this privacy policy, a revised privacy policy will promptly be posted to our website, and the updated date will be changed|False
we call this your profile|False
 from time to time, we may request additional information (e|False
that personally relates to or identifies you, such as your name, password, postal address, e-mail address, home/mobile telephone number, or any other identifier by which you may be contacted online or offline (personal information);|True
suggested text: when visitors leave comments on the site we collect the data shown in the comments form, and also the visitors ip address and browser user agent string to help spam detection|True
from time to time, we may request additional information (e|False
estimate our audience size and usage patterns|False
store information about your preferences, allowing us to customize our website according to your individual interests|True
speed up your searches|False
recognize you when you return to our website|False
the technologies we use for this automatic data collection may include:|False
cookies (or browser cookies)|True
when you visit the website, we may send one or more cookies|False
cookies are small text files containing a string of alphanumeric characters that may be placed on your web browser|False
cookies make it easier for you to navigate our website by, among other things, remembering your identity so that you do not have to input your password multiple times as you navigate between webpages on the website and/or as you access certain services we may provide|True
this use of cookies for authentication (i|False
e|False
, verifying that you are who you say you are) is an essential component of site security|False
you can set your web browser to inform you when cookies are set or to prevent cookies from being set|False
flash cookies|False
certain features of our website may use local stored objects (or flash cookies) to collect and store information about your preferences and navigation to, from, and on our website|False
flash cookies are not managed by the same browser settings as are used for browser cookies|False
web beacons|True
pages of our website and our e-mails may contain small electronic files known as web beacons (also referred to as clear gifs, pixel tags, and single-pixel gifs) that permit the campaign, for example, to count users who have visited those pages or opened an email and for other related website statistics (for example, recording the popularity of certain website content and verifying system and server integrity)|True
server logs|False
server logs can be either a single log file or several log files automatically created and maintained by a server of activity performed by the server, which can include information about any transaction you conduct with the server|True
please note that if you decline to use cookies, you may experience reduced functionality or slower site response times|False
declining to use our authentication-related cookies may prevent you from using the website altogether|False
you may also clear cookies from your computer via your web browser settings|False
you may also wish to use a google analytics opt-out web browser add-on|False
information on this option is available at: http://support|False
google|False
com/analytics/bin/answer|False
py?hl=en&answer=2700409|False
we or our service providers may also collect web surfing data related to your use of our services (e|True
, information regarding which of our web pages you access, the frequency of such access, and your product and service preferences)|True
this may be accomplished by using cookies, web beacons, page tags or similar tools|True
such web surfing data may include your internet protocol (ip) address, browser type, internet service provider (isp), referring or exit pages, click stream data, operating system and the dates and times that you visit the website|True
web surfing data and similar information may be used for administrative purposes; to assess the usage, value and performance of our online products and services; and to improve your experience with our services|True
email communications|False
we regularly send email newsletters to our users|False
users may subscribe or unsubscribe to an email newsletter at any time by changing their email preferences|False
on occasion, we may send emails to individuals such as registrants and members who have provided us with their email address|False
email recipients may always opt out of any email category at any time by following the unsubscribe instructions included in the email message|False
emailing us: we try to respond to email messages requiring a response in accordance with our internal policies|False
if you email us, your message and email address will be forwarded to the appropriate member of our team|True
we may choose to save this information|False
we are pleased to hear from you|False
however, any message, material, ideas, concepts or other information sent to us by email will be treated as non-confidential and non-proprietary, and we will not be liable for delays or omissions in receiving or responding to email|False
how information helps both you and us|False
information about you plays a key role in our ability to succeed in this mission|False
it also helps us service your accounts and administer our efforts|False
we may also use your information to contact you about certain topics, issues, campaigns, and political candidates that may be of interest to you|False
if you do not want us to use your information in this way, you may choose to opt-out|False
we may use the information we have collected from you to enable us to display advertisements to our advertisers target audiences|False
even though we do not disclose your personal information for these purposes without your consent, if you click on or otherwise interact with an advertisement, the advertiser may assume that you meet its target criteria|True
we use aggregated information provided by or collected from our users to understand and analyze the usage trends and preferences of our users, to improve the way our services and the website work and look, and to create new features and functionality|True
we do not and will not sell analytics that identify personal information of our users without written consent from the user|True
how and why our organization discloses your information to third parties|False
we limit the sharing of personal information outside our organization|True
we do not sell, license, lease, or otherwise disclose your personal information to third parties, except as noted below:|True
we may disclose your personal information when such disclosure is legally required or appropriate pursuant to any court orders, subpoenas or any regulations, including responding to court orders and subpoenas, cooperating with government agencies, other regulatory bodies, and law enforcement officials, performing background checks, resolving disputes or performing risk-management functions|True
we may share personal information with third parties who perform work for us under contract|True
to help us improve our efforts, we may engage third parties to help us to carry out certain internal functions|False
use of any personal information we share with these third parties is limited to the performance of the task we request|False
the third parties with which we share personal information are required to protect it in a manner similar to the way we protect your personal information|False
we may make certain automatically collected information about your interactions and activities|True
any such publicly available information will be accessible by other users|True
we further reserve the right to disclose any of your personal information as we believe appropriate or necessary to take precautions against liability, to investigate and defend against any third party claims or allegations, to assist government enforcement agencies, to protect the security or integrity of the services, or to protect the rights, property or personal safety of our organization, our users, or others|True
we may also use and disclose personally identifiable information and non-personally identifiable information: to investigate and help prevent potentially unlawful activity or activities that threaten the integrity of our website or network; to protect and defend our rights or property or the rights or property of others; and as required by courts or administrative agencies|True
we do not and will not sell any of your information, including non-personally identifiable or personally identifiable information, to any third party for purposes of advertising, soliciting, or telemarketing|True
we may use a third-party service to collect anonymous visitor information like ip addresses, browser types (such as firefox or safari), referring pages, pages visited, and time spent on a particular service or feature|True
we collect this information for statistical analysis of web page traffic patterns; to administer our service and servers; to allow for auditing of our services by some third-parties who have that right; and for internal purposes to make decisions|True
our privacy policy does not apply to third-party activities or sites|False
the website may provide links to third-party websites for your convenience and information|False
if you access those links, you will leave our website|False
any information submitted by you to a third party, will be controlled by that third-partys privacy policy, which may differ from our own|False
this privacy policy does not cover the collection of information by cookies or other methods by such third-party services or other third parties, such as our business partners|True
we do not control how these third-party services, or third parties collect information or by what means such third-party services, or third-parties may use their own cookies to collect information about you|False
we do not endorse, screen, or approve, and are not responsible for the privacy practices or the content of, other websites or services|False
we encourage you to review the privacy policy of any organization before submitting your personal information|False
keeping information safe|False
we limit access to your personal information to those persons who have a legitimate need to access such information to provide you with our efforts|True
in keeping with industry standards and practices, we maintain reasonable physical, electronic and procedural safeguards and controls to protect your information|True
the website is built upon a secure infrastructure with multiple layers of protection and we use industry standard encryption technologies to safeguard your information|False
we have security standards and procedures in place designed to prevent unauthorized access to your accounts and personal information|False
a key part of this process helps ensure that all information we have about you is accurate and up-to-date|False
if you ever discover inaccuracies in our data or if your personal information changes, notify us immediately|False
the transmission of information via the internet is not completely secure, and for this reason we cannot guarantee the security of information sent to us electronically|False
if we learn of a security systems breach, we may attempt to notify you electronically so that you can take appropriate protective steps|False
we may also post a notice on or through the website and the services in the event of a security breach|False
depending on where you live, you may have a legal right to receive notice of a security breach in writing|False
opt-out policy|False
we may at times send you e-mail communications|False
if you prefer not to receive such marketing or promotional e-mails from us, you may unsubscribe completely by emailing us at: [email protected]|False
please note that opt-out requests may take up to twenty-four (24) hours to process|False
please also note that at times we may need to send you e-mail communications that are transactional in nature such as service or termination announcements or payment confirmations which are communications you will not be able to opt-out of|False
you will be able to modify the information concerning your account by visiting your profile page and editing any information you wish to change|False
you will be able to change your e-mail address, password, contact information, or other login information by visiting your accounts settings page subject to our website policy|False
if you wish to delete your account or need help modifying account information, please contact us at [email protected]|False
we will require up to twenty-four (24) hours to process such requests|False
if you would like us to remove your personally identifiable information from our database, please send a request to: [email protected]|False
